"LeafID","LeafLength_cm","LeafWidth_cm","day"
"17","13.39","6.92","26"
"18","10.61","6.22","26"
"19","15.63","8.09","26"
"20","12.61","6.65","26"
"21","8.42","4.65","26"
"22","10.03","5.39","26"
"23","11.08","6.27","26"
"24","12.65","6.41","26"
"25","8.46","4.56","26"
"26","","","26"
"27","12.63","6.58","26"
"28","10.63","5.42","26"
"29","12.92","6.18","26"
"30","13.21","6.67","26"
"31","11.92","6.71","26"
"32","13.36","6.79","26"
"33","13.49","7.11","26"
"34","13.47","7.32","26"
"35","12.77","7.41","26"
"36","9.08","5.02","26"
"37","9.28","4.72","26"
"38","16.18","8.12","26"
"39","","","26"
"40","12.41","7.27","26"
"41","13.71","7.51","26"
"42","13.86","7.26","26"
"43","12.02","6.38","26"
"44","12.31","6.13","26"
"45","13.68","7.09","26"
"46","10.22","5.02","26"
"47","13.73","8.05","26"
"48","7.01","3.94","26"
"49","12.39","6.62","26"
"50","13.21","6.78","26"
"51","","","26"
"52","7.61","4.57","26"
"53","12.46","6.28","26"
"54","11.09","5.62","26"
"55","12.19","6.01","26"
"56","11.35","6.09","26"
"57","11.91","6.12","26"
"58","10.72","5.41","26"
"59","13.42","6.72","26"
"60","12.51","6.05","26"
"61","12.51","6.29","26"
"62","","","26"
"63","","","26"
"64","8.45","4.69","26"
"65","12.52","5.86","26"
"66","10.99","5.61","26"
"67","","","26"
"68","12.21","6.59","26"
"69","13.61","6.82","26"
"70","14.12","7.15","26"
"01","10.09","4.44","29"
"02","","","29"
"03","14.79","7.06","29"
"04","","","29"
"05","14.41","8.56","29"
"06","","","29"
"07","13.78","7.21","29"
"08","14.02","7.61","29"
"09","10.95","5.49","29"
"10","10.92","5.35","29"
"11","11.79","5.82","29"
"12","12.23","5.91","29"
"13","12.77","6.63","29"
"14","11.39","5.71","29"
"15","8.52","5.13","29"
"16","10.41","5.42","29"
"17","13.51","7.02","29"
"18","10.79","6.25","29"
"19","15.79","8.21","29"
"20","12.69","6.55","29"
"21","8.51","4.69","29"
"22","10.02","5.46","29"
"23","11.12","6.25","29"
"24","12.81","6.42","29"
"25","8.52","4.57","29"
"26","","","29"
"27","12.73","6.61","29"
"28","10.52","5.52","29"
"29","12.79","6.21","29"
"30","13.43","6.55","29"
"31","11.92","6.69","29"
"32","13.32","6.81","29"
"33","13.59","7.19","29"
"34","13.49","7.39","29"
"35","12.92","7.48","29"
"36","9.09","5.03","29"
"37","9.33","4.72","29"
"38","16.17","8.34","29"
"39","","","29"
"40","12.45","7.32","29"
"41","14.01","7.62","29"
"42","13.92","7.31","29"
"43","12.05","6.42","29"
"44","12.29","6.23","29"
"45","13.75","7.21","29"
"46","10.31","5.06","29"
"47","13.75","8.02","29"
"48","7.19","3.91","29"
"49","12.42","6.56","29"
"50","13.49","6.75","29"
"51","","","29"
"52","7.57","4.41","29"
"53","12.53","6.29","29"
"54","11.09","5.52","29"
"55","12.29","5.84","29"
"56","11.36","6.11","29"
"57","12.19","6.23","29"
"58","10.88","5.65","29"
"59","13.61","6.82","29"
"60","12.76","6.02","29"
"61","12.69","6.56","29"
"62","","","29"
"63","","","29"
"64","8.61","4.64","29"
"65","12.62","5.95","29"
"66","11.02","5.65","29"
"67","","","29"
"68","12.39","6.49","29"
"69","14.02","7.19","29"
"70","14.51","7.18","29"
"01","10.21","4.49","32"
"02","","","32"
"03","15.11","7.26","32"
"04","","","32"
"05","14.28","8.55","32"
"06","","","32"
"07","13.92","7.27","32"
"08","14.18","7.66","32"
"09","11.11","5.42","32"
"10","11.25","5.32","32"
"11","11.98","5.95","32"
"12","12.35","5.92","32"
"13","13.01","6.89","32"
"14","11.61","5.91","32"
"15","8.53","5.21","32"
"16","10.52","5.45","32"
"17","13.62","7.09","32"
"18","11.1","6.35","32"
"19","15.96","8.32","32"
"20","12.73","6.79","32"
"21","8.55","4.73","32"
"22","10.09","5.52","32"
"23","11.21","6.35","32"
"24","12.89","6.54","32"
"25","8.49","4.58","32"
"26","","","32"
"27","12.85","6.72","32"
"28","10.58","5.51","32"
"29","12.92","6.22","32"
"30","13.62","6.79","32"
"31","12.08","6.67","32"
"32","13.42","6.83","32"
"33","13.61","7.19","32"
"34","13.68","7.41","32"
"35","12.91","7.39","32"
"36","8.89","5.03","32"
"37","9.22","4.66","32"
"38","16.26","8.39","32"
"39","","","32"
"40","12.68","7.33","32"
"41","14.15","7.81","32"
"42","14.25","7.46","32"
